temp,pm25
78,5.7
80.1,5.8
79.4,5
75,8.1
78.3,8.1
83.3,7.3
81.9,7.1
81.8,7.3
81.1,5.4
75.7,8.9
85.2,4.8
71.7,8.6
74.7,8.2
74.9,7.6
75.4,5.9
77.8,4.8
77.6,4.8
75.5,4.6
77.4,4.5
78.6,4.9
83.2,5.5
85.3,8.2
84.9,5.8
78.1,4.6
75.1,4.3
77.5,5.3
78.7,4.4
77.5,4.9
73.7,5.8
74.9,6.4
84.1,8.1
86.6,7.7
82.7,4.6
82.2,3.9
81.2,4.6
46.3,8.6
47.1,9.4
55,7
58.9,10.5
65.5,11.1
68.6,12.3
63.4,8.8
62.1,7.4
66.3,7.3
51.3,12.6
48.6,9.8
57.5,6.6
56.7,54.8
52,6.2
57.4,9.1
61.7,7.1
66.1,9
67.9,8.6
58.3,9.2
56.1,10.8
48.2,8
52.2,5.5
59.8,6.1
55.5,8
59.5,8.5
66.1,8.2
70.8,12.2
59.6,15.1
60.5,10.3
70.3,10.6
72.7,11.2
72.7,9.9
75.5,6.9
73.5,6.6
70,4.5
73.1,4.6
72.8,7.1
70,10
72.1,6.1
74.6,6.3
66.5,10.7
68.8,9.6
72.2,9.4
66.2,5.9
54.6,9.3
52.9,4.1
60,4.3
66,7
59.1,5.6
65.4,10.1
66,6.8
69.5,7.3
76,5.2
75.7,13.1
69.2,12.9
59,3.3
51.5,3.6
61.6,3.6
69,5.4
77.2,14.9
72.1,8.2
66.8,6.8
79.3,16.1
80.2,11
77.6,12.9
76,8.1
77.3,7.4
77.1,7.5
68.1,7.2
71.3,9.8
76.8,8.5
78.8,8.3
78.6,6.4
75.5,8.8
72.7,7.4
77.4,9.7
81.7,8.2
79.5,7.7
83.4,14.1
80.1,6.5
79.3,6.6
79.9,8.8
82.1,10.5
82.1,9
82.5,7.1
83,11.3
81.4,10.1
79.5,9.2
