temp,pm10
65.2,22.9
68.4,33.7
67,26.8
66.9,39.4
65.9,38.5
69,32.2
60.6,43.2
52.2,47.3
55.2,22.4
59.9,23.6
61.9,38
63.4,80.2
61,20.3
65.3,24.3
65.1,22.5
65.4,28.2
65.7,26.6
66.9,30.8
53.3,34.6
54.6,20.6
64.5,29.9
70.8,93.5
61.1,78
56.5,28.3
62.4,25
66.2,25.9
61.7,23.1
66.5,28
68.4,110.4
59.9,30.6
55,23.7
50.6,18
52.5,14.8
60.3,20.5
67,30.4
73,26.7
69,27.1
68.4,42.3
67.8,25.8
67.8,21.9
66.9,56
62.4,13
59,20
63.8,20.2
71.4,28.8
73.4,77.7
60.9,31
60.6,19.5
65.1,26.2
65.7,22.7
71.8,23.9
75.1,24.9
72.7,40.8
72.7,20.9
73.1,30.3
73.4,94.1
66.5,47.5
65.7,31.6
71.7,43.8
63.8,29.3
66.2,22.5
59.5,44.1
58.6,19.8
69.3,23.4
73.8,21.7
78.5,26.7
80.2,79
71.9,35.4
68.7,32.7
68.5,25.9
72.9,23.8
76.5,25.2
75.3,32.5
78.7,30.3
73.6,31.9
77.2,34.5
78.8,82.1
70.9,36.5
62.4,18.8
66.3,23.3
77.2,27.3
79.1,21.4
78.7,40.6
79.3,40.4
78.1,47.9
78.6,52.1
74.6,47.4
70.8,28.5
77,36.1
81.8,33
78.7,27.5
73.5,20.3
54,22
54.5,21.5
57.3,22.5
62.6,30.7
65.9,28.1
64.7,30.3
59.2,30.8
63.2,47.9
65.9,51.5
67.9,45.8
68.6,38.5
62.8,34.6
64.1,36.1
68,30.7
70.8,31.9
71.3,30.3
71,27.7
73.2,45
76.3,30.6
75.5,35
76.2,28.3
76.4,34.5
64.1,48.2
58.8,26.1
65.2,34.8
71.2,38.6
74.1,26.7
70.5,25.3
68.7,28.4
72.5,32.8
73.4,32.7
71.2,25.4
75.7,27.2
74.1,23.5
73.6,23.7
74.5,25.3
75.8,33.1
76.6,29.7
77.1,25.4
74.8,24
65.7,29
67.7,21.1
78.1,45.9
74.8,107.9
67.8,22.6
75.4,48.3
74.5,53.2
52.1,16.1
60.1,14.3
70.7,20.1
75.3,27.7
75.6,25.4
68.9,30.2
76.6,26
80.5,36.8
78.4,22
74.8,27.7
67.1,25.8
61.3,20.7
68.2,24
74.5,21.4
79.7,26.4
80.4,20.1
77.7,26.8
69.7,115.3
68.6,25.2
73,28.6
70.7,20.5
72.3,20.9
76.7,24
