ozone,pm25
46,8.7
44,7.2
41,5.9
37,7.4
34,7.3
47,5.1
39,4.6
31,6
35,9.1
38,6.4
37,5.5
36,4.8
30,7.1
29,8
37,6.2
44,5.4
34,7.4
45,7.2
40,6.8
43,9.2
47,10.5
43,8.6
44,9.8
35,9.4
29,11.1
36,17.4
43,13.5
42,11.3
41,13
32,15.9
40,16.8
46,14
47,10.1
39,10.2
40,14.7
28,13.1
31,8
30,9.3
30,9.1
38,8.6
35,8.1
31,9.3
25,8.6
26,8.3
16,8.3
29,8.9
25,5.8
20,7.6
22,9.1
24,4.1
21,3.9
27,3.7
23,3.9
23,5.6
23,7.5
28,10
19,4.9
22,5.9
26,10.1
29,8.2
30,12.1
20,12
30,5.7
28,10.1
22,11.7
30,6.4
27,6.6
15,5
14,8.6
16,6.7
20,7.1
23,11.1
13,10.5
21,6.1
12,10.9
18,6.6
30,5.4
33,4.7
19,6.9
18,8.2
23,10.3
21,8.8
25,6
15,11.5
21,13.9
9,15.4
35,6.5
21,8.7
11,11.7
9,14
16,12.3
22,9.2
19,8.7
16,5.9
22,5.9
19,5.6
14,15.2
10,15.3
7,13.7
14,11.6
15,10.3
22,11.2
20,15.9
15,15.7
14,15.5
17,6.7
20,6.7
27,5.8
29,5.7
25,5.1
23,12.2
20,16.7
27,5.2
14,9.7
12,14.6
17,9.5
23,6.4
23,10
13,7.8
13,9.9
15,6.8
7,12.7
11,13.4
12,11.2
29,3.7
11,14.2
8,14.7
28,7.2
26,9.1
15,7.9
16,11.8
13,15.4
21,9.5
29,4.8
20,7.4
15,10.4
13,16.2
16,16.8
39,7.9
23,9.1
15,14.2
21,7.2
16,9.6
19,11.2
31,5.8
17,9.7
23,7.6
14,17.2
19,11.6
22,7.9
23,10.2
30,6.7
27,6.8
24,8.1
31,6.1
25,8.6
16,11
24,7.7
36,9.4
32,5.9
23,7.9
15,10.5
11,13
11,6.2
14,4.8
18,5.6
17,7
25,5.1
33,5.3
25,6.7
31,7
28,6.4
45,5.9
40,5.2
22,10.4
16,13
39,6
32,5.7
25,10.5
22,11.1
35,6.1
31,8.2
32,4.6
38,7.7
25,9.5
32,6.4
39,5.7
