radiation,pm10
0.362,22.9
0.362,33.7
0.336,26.8
0.342,39.4
0.268,38.5
0.243,32.2
0.316,43.2
0.234,47.3
0.357,22.4
0.387,23.6
0.377,38
0.374,80.2
0.395,20.3
0.377,24.3
0.398,22.5
0.398,28.2
0.403,26.6
0.41,30.8
0.4,34.6
0.397,20.6
0.41,29.9
0.389,93.5
0.397,78
0.422,28.3
0.425,25
0.426,25.9
0.427,23.1
0.396,28
0.374,110.4
0.342,30.6
0.375,23.7
0.305,18
0.443,14.8
0.449,20.5
0.449,30.4
0.434,26.7
0.361,27.1
0.173,42.3
0.359,25.8
0.458,21.9
0.446,56
0.465,13
0.306,20
0.466,20.2
0.468,28.8
0.435,77.7
0.459,31
0.475,19.5
0.412,26.2
0.477,22.7
0.485,23.9
0.478,24.9
0.386,40.8
0.459,20.9
0.487,30.3
0.472,94.1
0.482,47.5
0.49,31.6
0.491,43.8
0.492,29.3
0.493,22.5
0.484,44.1
0.493,19.8
0.494,23.4
0.501,21.7
0.468,26.7
0.492,79
0.506,35.4
0.508,32.7
0.511,25.9
0.517,23.8
0.519,25.2
0.463,32.5
0.491,30.3
0.35,31.9
0.436,34.5
0.445,82.1
0.422,36.5
0.338,18.8
0.463,23.3
0.51,27.3
0.514,21.4
0.486,40.6
0.506,40.4
0.474,47.9
0.51,52.1
0.5,47.4
0.515,28.5
0.523,36.1
0.481,33
0.36,27.5
0.404,20.3
0.327,22
0.326,21.5
0.217,22.5
0.328,30.7
0.304,28.1
0.341,30.3
0.35,30.8
0.335,47.9
0.311,51.5
0.349,45.8
0.335,38.5
0.344,34.6
0.356,36.1
0.362,30.7
0.356,31.9
0.344,30.3
0.369,27.7
0.363,45
0.366,30.6
0.359,35
0.37,28.3
0.38,34.5
0.415,48.2
0.418,26.1
0.335,34.8
0.432,38.6
0.437,26.7
0.393,25.3
0.427,28.4
0.409,32.8
0.423,32.7
0.416,25.4
0.406,27.2
0.448,23.5
0.443,23.7
0.45,25.3
0.429,33.1
0.454,29.7
0.493,25.4
0.465,24
0.449,29
0.451,21.1
0.457,45.9
0.421,107.9
0.455,22.6
0.441,48.3
0.382,53.2
0.312,16.1
0.475,14.3
0.495,20.1
0.488,27.7
0.478,25.4
0.48,30.2
0.48,26
0.408,36.8
0.479,22
0.458,27.7
0.465,25.8
0.437,20.7
0.479,24
0.477,21.4
0.479,26.4
0.445,20.1
0.469,26.8
0.357,115.3
0.487,25.2
0.466,28.6
0.505,20.5
0.502,20.9
0.49,24
0.469,26.4
0.492,29.7
0.424,26.1
0.453,43.1
0.495,41
0.502,24.9
0.502,27.8
0.486,25.5
0.425,50.4
0.393,27.1
0.352,21.8
0.356,38.7
0.361,40.3
0.369,29.8
0.315,39.6
0.299,24.7
0.333,35.2
0.278,38.5
0.37,27.8
0.302,22.9
0.196,22.7
0.338,22.7
0.371,28.4
0.353,32
0.351,91.6
0.323,24.3
0.325,24.3
0.395,49.1
0.377,19.2
0.411,24.4
0.396,37.6
0.381,27.3
0.359,36.9
0.305,43.8
0.351,48.1
0.092,28.2
0.386,21.3
0.422,23
0.429,25.4
0.433,28
0.405,24
0.381,23.1
0.443,29.6
0.45,35
0.441,57
0.419,35.2
0.362,33.1
0.373,36.1
0.448,47.1
0.376,33.5
0.454,42.2
0.454,37.1
0.437,100.3
0.441,128
0.477,23.4
0.478,30.1
0.424,33.8
0.447,58.1
0.47,40.9
0.423,66.8
0.476,42.5
0.475,21.1
0.301,29.5
0.479,29.9
0.477,34
0.419,34
0.446,39.4
0.242,35.7
0.453,33.7
0.488,25.9
0.455,30.9
0.306,33.9
0.434,114.2
0.51,25.5
0.509,26.9
0.508,26.1
0.509,22.6
0.465,35.3
0.502,29.9
0.507,29.2
0.514,32.1
0.512,40.9
0.463,30.4
0.458,22.3
0.516,28.1
0.522,28.8
0.52,29
0.523,35.9
0.523,43.9
0.532,29.2
0.502,49.1
0.438,30.6
0.502,25.2
0.52,27
0.523,25
0.535,30.1
0.423,36.2
0.526,24.4
0.538,26.2
0.533,28.8
0.53,29.7
0.535,27.8
0.347,22.7
0.287,35.3
0.355,24.6
0.34,28.3
0.355,25.7
0.361,32.1
0.24,47.1
0.108,123.5
0.304,24.4
0.145,27.5
0.126,29.4
0.225,43.6
0.351,89.8
0.394,44.1
0.313,41.8
0.161,19.3
0.393,17.4
0.294,20
0.398,30.8
0.385,38.8
0.36,27.9
0.375,24.4
0.393,33.7
0.422,22
0.408,27.9
0.363,31.3
0.325,28
0.417,26.1
0.436,40.5
0.353,31.8
0.425,27.4
0.402,26.7
0.432,39.8
0.378,30
0.356,40.6
0.427,23.6
0.455,21.6
0.458,24.8
0.456,55.4
0.36,199.7
0.459,39.3
0.21,32.4
0.419,23.6
0.47,23.8
0.466,33.4
0.449,29.4
0.372,33.5
0.477,20.1
0.484,24.8
0.461,35.1
0.486,24.6
0.316,30.7
0.416,19.7
0.48,17.1
0.489,23.2
0.44,31.9
0.489,28.5
0.497,25.6
0.448,26.7
0.497,34.9
0.508,27.1
0.457,26.4
0.507,29.2
0.507,27.6
0.51,24.2
0.495,27.7
0.385,37.5
0.459,27.2
0.462,35.5
0.346,27.5
0.442,17.8
0.247,18.7
0.417,20.6
0.513,27.9
0.506,25.4
0.484,30
0.524,65.6
0.523,32.9
0.455,26.8
0.299,128.5
0.521,52.4
0.514,65
0.516,45.3
0.527,32
0.507,24.3
0.4,99.5
0.52,48
0.529,25.5
0.533,25.6
0.501,38.1
0.48,29
0.184,16.5
0.202,27.3
0.099,13.9
0.295,14.1
0.369,21.9
0.366,20.6
0.356,24.7
0.141,9.1
0.366,20
0.263,24.2
0.299,25.1
0.151,11.6
0.29,13.6
0.395,25.5
0.255,27.2
0.403,25.8
0.129,26.4
0.119,16.1
0.382,11.5
0.4,23.1
0.365,18.8
0.404,20.7
0.42,31.8
0.431,16.6
0.422,17.4
0.276,30.6
0.283,109.7
0.44,17.1
0.321,22
0.44,16.3
0.403,25.8
0.369,23
0.453,19.1
0.309,23.6
0.435,25.2
0.454,20.4
0.294,19.3
0.459,17.6
0.442,20.1
0.422,17.7
0.471,18.7
0.461,20.4
0.467,35.3
0.472,27.5
0.476,16.4
0.48,23.1
0.475,20
0.384,23
0.485,25.7
0.489,15.9
0.483,21.1
0.498,24.3
0.491,19.6
0.496,21
0.499,21.5
0.497,27.6
0.5,22.3
0.457,23.2
0.505,21.7
0.497,38.7
0.466,35.7
0.446,27.1
0.504,24.2
0.51,19.5
0.523,18.7
0.51,41.5
0.511,32
0.523,27.4
0.481,64.9
0.495,38.6
0.384,28.1
0.421,25.7
0.525,20.5
0.524,19.3
0.45,18.9
0.526,18.4
0.531,19.6
0.533,19.8
0.529,30
0.516,24.7
0.534,20.3
0.543,21.1
0.544,23.1
0.541,19.3
0.52,18.4
0.533,22.7
0.529,25.2
0.538,25.4
0.515,28.1
0.525,20.9
0.527,16.6
0.534,16
0.354,19.7
0.366,23.2
0.35,45.5
0.358,29.4
0.374,20.5
0.368,18.8
0.362,32.7
0.318,42.2
0.286,58.2
0.383,42.1
0.384,26.4
0.337,30
0.372,75
0.392,56.8
0.398,17.6
0.294,279.4
0.408,18.4
0.402,36.6
0.403,27.8
0.406,31.9
0.267,35.9
0.391,50.7
0.413,37.8
0.331,16.3
0.416,12
0.429,20.4
0.39,19.4
0.431,19.8
0.413,24
0.44,31.8
0.436,38.7
0.391,35.5
0.417,25.8
0.447,32
0.446,24.3
0.412,21.9
0.393,36.3
0.471,24.4
0.427,24.3
0.468,21.7
0.471,43.3
0.421,25
0.444,26.6
0.466,47.1
0.385,32.5
0.265,42.3
0.26,23.3
0.4,59.6
0.454,12.7
0.481,16.4
0.492,34.3
0.485,32.4
0.42,47.3
0.491,27.5
0.496,26.8
0.493,24.5
0.436,59.3
0.405,65.1
0.352,15.1
0.137,14.4
0.328,11.7
0.507,15.6
0.458,68
0.517,27.1
0.512,21.2
0.474,29.9
0.49,48.7
0.478,31.4
0.525,39
0.53,23.3
0.502,26.5
0.53,23.4
0.489,22.3
0.501,36.5
0.463,30.9
0.44,27.2
0.541,22.3
0.524,33.3
0.491,23.3
0.456,29.7
0.533,22.6
0.376,21.1
0.526,49.6
0.537,18.7
0.514,20.8
0.542,25.1
0.448,28.9
0.372,26.9
0.549,21.1
0.54,37.4
0.513,23.1
0.536,30.4
