pm10,sulfur
22.4,0.5
23.8,0.6
37,1.2
22.1,0.9
27,0.6
26.1,0.7
33.2,0.8
31.9,1
26.1,0.8
33.8,0.8
24,0.7
21.4,0.7
30.4,0.8
25.5,0.9
26.8,1
25.4,1
24,0.9
26.9,0.9
28.6,0.7
29.4,0.5
31,0.9
44,1.1
44.9,0.9
60.1,0.8
32.9,0.7
21.9,0.6
18.7,0.5
17.5,0.5
18.8,0.6
36.4,0.6
16.9,0.6
16.5,0.5
16.5,0.3
18.8,0.4
32.9,0.6
37.4,0.4
41.8,0.6
22.9,0.5
33.2,0.5
20.3,0.7
22,0.8
22.4,0.7
22.9,0.6
22.2,0.7
48.4,0.9
33.8,0.5
37.8,0.4
29.2,0.5
29,0.7
23.6,0.6
23.5,0.8
26.5,1
86.1,0.9
33.4,1.4
18.6,1.4
22.6,0.7
33.5,1.1
24.8,0.6
19.6,0.7
19.3,0.8
29.2,0.9
27.2,0.9
26.4,0.8
33.9,1
19,0.9
20,0.9
16.4,0.6
22.3,0.8
18.1,0.7
20.2,0.6
26.8,0.8
24.7,0.8
25.2,0.7
34.7,0.8
23.3,0.8
23.6,0.8
16.8,0.4
21.5,0.5
21.6,0.4
28,0.5
31.3,0.5
22.1,0.5
21.9,0.4
17.4,0.4
20.5,0.5
16.9,0.4
17.1,0.4
22.2,0.3
18.1,0.2
22.2,0.5
26.3,0.7
29.9,0.7
28.6,0.5
22.2,0.5
28,0.6
40.4,0.6
51.1,0
36.2,0.1
25.6,0.1
31.5,0.3
34.2,0.4
29.4,0.1
24.9,0.2
34,0.6
46.7,0.5
32.5,0.5
30.4,0.6
38.5,0.6
56.1,0.5
43.8,0.4
36.4,0.3
25.7,0.4
25.6,0.6
27.2,0.6
33.3,0.6
38.1,0.6
55.4,0.6
26.3,0.8
33.4,0.4
49,0.4
30.7,0.3
20.6,0.2
19.1,0.1
16.1,0.2
16.9,0.2
16,0.3
34.9,0.4
25,0.4
31.3,0.4
19,0.3
20,0.3
18.1,0.4
23.7,0.6
25.2,0.5
24.4,0.4
21,0.4
25.6,0.5
24,0.6
19,0.8
20.7,0.9
26.4,0.8
24.5,0.9
32.3,0.9
18.1,0.1
23.8,0.2
26,0.2
23.7,0.5
17.5,1.3
27.6,1.5
22.3,1.2
20.5,1.3
25.2,1.4
24,1.5
16.6,1.2
16.6,1.2
19.3,1
18.2,1.1
21.6,1
35.1,1.2
29.6,0.9
22.5,1.1
15.7,1.3
28.7,1.4
29.7,1.2
24.6,1.1
20.2,1.5
22.5,1.3
20.4,1.3
19.6,0.9
24.5,1.1
28.3,1.3
31.7,1.5
32.5,1.6
