pm25,temp
9.4,62.6
9.2,65.9
7,64.7
7.4,59.2
15.8,63.2
12.8,65.9
10.2,67.9
10.5,68.6
7.6,62.8
7.8,64.1
7.1,68
7.4,70.8
6.7,71.3
7.3,71
12.3,73.2
8.8,76.3
9.2,75.5
8.4,76.2
8.4,76.4
32.7,66.8
6.8,59.7
7.2,65.8
7,64.7
6,67.8
8.6,58.8
4.2,57.4
4.6,65.6
43.2,68.6
15.2,56.5
7.2,58.8
8.5,65.4
19.2,64.1
13.4,58.8
17.6,65.2
17.1,71.2
10.2,74.1
14.2,70.5
14.1,68.7
11.1,72.5
9.5,73.4
6.2,71.2
6.3,75.7
5.7,74.1
6.3,73.6
6.5,74.5
7.2,75.8
6.8,76.6
6.3,77.1
5.1,74.8
5.9,65.7
4.3,67.7
9,78.1
21.3,74.8
4.5,67.8
9.4,75.4
10.1,74.5
4.6,52.1
3.3,60.1
4.8,70.7
5,75.6
4.1,68.9
5.2,76.6
7.2,80.5
4.6,78.4
6.2,74.8
5.8,67.1
4.8,61.3
5.8,68.2
4,74.5
6,79.7
5.1,80.4
5.3,77.7
18.4,69.7
5.1,68.6
5.9,73
4.2,70.7
4.6,72.3
9,76.7
7,78.7
7.4,74.7
6,77.4
8.5,83.5
9,82
7.4,81.1
5.8,76.8
8.2,76.9
13.4,74.6
13.3,74.4
7.9,74.8
8.6,77.1
6.9,80
12.1,82.8
16.9,86.4
6.3,82.1
4.6,80.4
7.8,86.2
11.3,88.6
10.4,85.6
9.5,84.3
5.8,84.7
7.7,86
8.8,88.7
8.7,88.9
9.2,89.7
10.5,88.9
10.7,89
9,91.1
8,90.7
9.7,94.3
13.3,95.4
11.4,85.3
12.2,80.4
9.4,81.6
8,83
7.5,89.8
9.7,89.2
9.1,89.9
12.9,86.9
9,86.7
10.2,90.3
12.3,90.7
9.4,86.4
6,87.2
5.9,83.6
4.7,86
3.8,87.5
3.9,87.7
7,81.1
4.6,80.9
5,83.9
8.7,82
5.5,77.7
6.7,80.9
6.8,82.7
7.5,83.9
7.7,84
4.7,84
8.7,85
7.2,83
5.9,84.5
7.4,86.9
7.3,83
5.1,79.4
4.7,82.2
5.1,82.7
4.6,79.5
6,82.6
9.1,84.7
6.4,82.9
5.5,78.4
4.8,72.3
7.1,77.1
8,83.2
6.2,79.4
5.4,74.9
7.4,77.1
7.2,80
6.8,81.2
9.2,81
10.5,79.8
8.6,79
9.8,79.4
9.4,81
11.1,82.1
17.4,82.5
13.5,81.8
11.3,81.5
13,79.1
15.9,82.1
16.8,81.5
14,79.7
10.1,79.5
10.2,80.6
14.7,82.6
13.1,84.5
8,83.6
9.3,82.3
9.1,80.3
8.6,80.7
8.1,81.9
9.3,82.2
8.6,81.3
8.3,83.2
8.3,83.9
8.9,79.4
5.8,76.6
7.6,75.4
9.1,72.5
4.1,65.7
3.9,68.3
3.7,71.1
3.9,71.1
5.6,76.8
7.5,80.3
10,78.9
4.9,80.9
5.9,80.5
10.1,70.4
8.2,73.2
12.1,75.7
12,78.9
5.7,79.2
10.1,71.1
11.7,72.8
6.4,72
6.6,70.9
5,55.9
8.6,62.5
6.7,67.1
7.1,64.1
11.1,62.8
10.5,67.7
6.1,66.6
10.9,65.9
6.6,69.8
5.4,59.5
4.7,52.7
6.9,53.8
8.2,60.4
10.3,57.2
8.8,57.8
6,63.3
11.5,63.1
13.9,62.2
15.4,61.7
6.5,65
8.3,52.5
8.7,57.4
11.7,59.3
14,59.9
12.3,61.3
9.2,61.5
8.7,51.7
5.9,42.1
5.9,34.7
5.6,35.3
15.2,42.1
15.3,44.7
13.7,46
11.6,48
10.3,47.6
11.2,50
15.9,44
15.7,43.7
15.5,46.5
6.7,48.9
6.7,48.2
5.8,52.3
5.7,57.5
5.1,43.9
12.2,52.6
16.7,54.8
5.2,59.1
9.7,53.6
14.6,50.8
9.5,52.1
6.4,55.4
10,55.5
7.8,37.4
9.9,41.9
6.8,42.4
12.7,47
13.4,48.3
11.2,51.7
3.7,59.2
14.2,53.4
14.7,56.1
7.2,53.3
9.1,51.2
7.9,49.5
11.8,50.6
15.4,48.9
9.5,47
4.8,32.6
7.4,35.3
10.4,41.3
16.2,46.8
16.8,54
