pm25,pm10
4.8,20.5
4.8,19.3
4.6,18.9
4.5,18.4
4.9,19.6
5.5,19.8
8.2,30
5.8,24.7
4.6,20.3
4.3,21.1
5.3,23.1
4.4,19.3
4.9,18.4
5.8,22.7
6.4,25.2
8.1,25.4
7.7,28.1
4.6,20.9
3.9,16.6
4.6,16
8.6,19.7
9.4,23.2
7,18.8
10.5,32.7
11.1,42.2
12.3,58.2
8.8,42.1
7.4,26.4
7.3,30
12.6,75
9.8,56.8
6.6,17.6
54.8,279.4
6.2,18.4
9.1,36.6
7.1,27.8
9,31.9
8.6,35.9
9.2,50.7
10.8,37.8
8,16.3
5.5,12
6.1,20.4
8,19.4
8.5,19.8
8.2,24
12.2,31.8
15.1,38.7
10.3,35.5
10.6,25.8
11.2,32
9.9,24.3
6.9,21.9
6.6,36.3
4.5,24.4
4.6,24.3
7.1,21.7
10,43.3
6.1,25
6.3,26.6
10.7,47.1
9.6,32.5
9.4,42.3
5.9,23.3
9.3,59.6
4.1,12.7
4.3,16.4
7,34.3
5.6,32.4
10.1,47.3
6.8,27.5
7.3,26.8
5.2,24.5
13.1,59.3
12.9,65.1
3.3,15.1
3.6,14.4
3.6,11.7
5.4,15.6
14.9,68
8.2,27.1
6.8,21.2
16.1,48.7
11,31.4
12.9,39
8.1,23.3
7.4,26.5
7.5,23.4
7.2,22.3
9.8,36.5
8.5,30.9
8.3,27.2
6.4,22.3
8.8,33.3
7.4,23.3
9.7,29.7
8.2,22.6
7.7,21.1
14.1,49.6
6.5,18.7
6.6,20.8
8.8,25.1
10.5,28.9
9,26.9
7.1,21.1
11.3,37.4
10.1,23.1
9.2,30.4
